ticker,year,cash,current_assets,current_liabilities,depreciation,ebit,equity,export_sales,interest_expense,lt_debt,lt_liabilities,net_fx_position,net_income,pretax_income,retained_earnings,revenue,st_debt,total_assets,total_liabilities,total_debt,total_debt_lag,total_assets_lag,debt_to_assets,leverage,st_debt_share,implied_rate,icr,roa,cash_ratio,current_ratio,altman_z,export_share,fx_exposure,country
A1CAP,2020,16639770.0,452463975.0,325928352.0,1242248.0,106055903.0,138792643.0,0.0,-14052233.0,0.0,2806817.0,7533719.0,73169578.0,95705741.0,10418879.0,3258373175.0,134072577.0,467527812.0,328735169.0,134072577.0,,,0.2867692008021119,0.7031350019450822,1.0,0.10481064296988936,7.547263342416825,0.2268440513652266,0.051053459749337796,1.3882314079874831,7.0658064327343,0.0,0.01611394831843715,TR
A1CAP,2021,138616535.0,851508753.0,588233083.0,3263754.0,201333408.0,296625805.0,0.0,-59348374.0,6343936.0,8695590.0,70437819.0,107847238.0,149691172.0,79742037.0,6383982336.0,232609609.0,893554478.0,596928673.0,238953545.0,134072577.0,467527812.0,0.267419111965997,0.6680383655354475,0.9734511743694784,0.31819956029781743,3.392399731119845,0.22531744057803266,0.23564899528100836,1.447570321372081,7.509655556445962,0.0,0.07882879078358779,TR
A1CAP,2022,601884013.0,4019261420.0,2578328327.0,12651941.0,1638742798.0,1487849161.0,0.0,-749488363.0,11312605.0,132279622.0,304216291.0,652970166.0,919349838.0,297420870.0,29904761919.0,1352243042.0,4198457110.0,2710607949.0,1363555647.0,238953545.0,893554478.0,0.32477541422353606,0.6456200165874745,0.9917035985844148,0.9353935275274228,2.1864819774393216,0.390320242666478,0.233439630902368,1.5588633060850672,8.931663074333187,0.0,0.07245906842192322,TR
A1CAP,2023,1057144887.0,6297396379.0,2843103868.0,21452328.0,2302099126.0,3696944220.0,0.0,-2104407870.0,19046268.0,34025698.0,871131129.0,-179999056.0,377985040.0,1305745765.0,27798928095.0,1066848965.0,6574073786.0,2877129566.0,1085895233.0,1363555647.0,4198457110.0,0.1651784370465233,0.43764789682267796,0.9824603079365393,1.7182690922138435,1.0939415114428364,0.350178473947539,0.37182774041373856,2.214972322987955,11.04678865786645,0.0,0.13251009303472397,TR
A1CAP,2024,1441993157.0,10860801363.0,5776483475.0,41658282.0,4442296357.0,5321869696.0,0.0,-3601351353.0,11955519.0,209814582.0,789968878.0,484152706.0,1194048315.0,1473516084.0,54353110882.0,2358867212.0,11308167754.0,5986298057.0,2370822731.0,1085895233.0,6574073786.0,0.20965578001452773,0.5293782500602263,0.9949572277827127,2.083682493339801,1.2335081811163677,0.39283962297328334,0.24963165968374904,1.8801752675316015,10.197609091488326,0.0,0.06985825601327562,TR
A1CAP,2025,1987191745.0,20648453604.0,8957406449.0,74902733.0,10630835004.0,10813347327.0,0.0,-4102416937.0,46125362.0,1666044467.0,1586844676.0,4503610095.0,6873484003.0,2296440496.0,38936272764.0,2446369016.0,21436798243.0,10623450916.0,2492494378.0,2370822731.0,11308167754.0,0.11627176548223112,0.4955707841990347,0.9814942964737953,1.6870859312908522,2.5913589884342856,0.49591524272853604,0.2218490091204747,2.305182166463506,11.578196185604758,0.0,0.07402433227257575,TR
A1YEN,2018,357252.0,3752330.0,16426003.0,9659992.0,12175560.0,48900210.0,0.0,-74007498.0,129308596.0,159681378.0,-8104846.0,29205062.0,31009845.0,9626707.0,18311677.0,14762264.0,225007593.0,176107381.0,144070860.0,,,0.6402933255679065,0.7826730585042968,0.10246530075547547,0.5136881809409619,0.16451792492701212,0.05411177390800318,0.02174917416001933,0.2284384095144753,3.6751675171532363,0.0,-0.036020322211970865,TR
A1YEN,2019,24708.0,12815563.0,25372918.0,26785710.0,20262920.0,210096465.0,0.0,-33721717.0,173537363.0,333004502.0,-96411407.0,38361486.0,39554928.0,65617479.0,39205379.0,23470537.0,568473886.0,358377420.0,197007900.0,144070860.0,225007593.0,0.3465557606985662,0.630420198404681,0.1191350042307948,0.1977356608192196,0.6008863664919554,0.03564441656692037,0.0009737941848075968,0.5050882598524932,4.336471956282841,0.0,-0.16959689683969054,TR
A1YEN,2020,443286.0,9039390.0,22103023.0,21480186.0,51398470.0,351119057.0,0.0,-79971940.0,210830144.0,279771821.0,-123656299.0,29673453.0,34182766.0,103946281.0,65144130.0,19254833.0,652993901.0,301874844.0,230084977.0,197007900.0,568473886.0,0.3523539448801069,0.46229351229422894,0.08368574624496236,0.3744943749085284,0.6427063042362109,0.07871202153846762,0.02005544671423452,0.4089662305468352,5.387931708276753,0.0,-0.18936822964292893,TR
A1YEN,2021,21823513.0,38555951.0,85770437.0,32652074.0,22785436.0,843936780.0,0.0,-175195719.0,319614711.0,471009887.0,-16510043.0,68285171.0,65903781.0,133619734.0,89020796.0,77608100.0,1400717104.0,556780324.0,397222811.0,230084977.0,652993901.0,0.2835853220223118,0.39749662684207504,0.1953767453702451,0.5585638257690497,0.13005703638226457,0.01626697920296117,0.25444096781272085,0.4495249452908815,5.040709423796613,0.0,-0.011786850430292168,TR
A1YEN,2022,79133154.0,108241565.0,136075039.0,46747210.0,89774311.0,1372544425.0,0.0,-172780149.0,363668608.0,575881791.0,-143822839.0,116169473.0,110990685.0,201904905.0,179002231.0,102665310.0,2084501255.0,711956830.0,466333918.0,397222811.0,1400717104.0,0.2237148655494573,0.34154780588030875,0.2201540699426457,0.4001593484195987,0.5195869520867238,0.0430675255218304,0.5815405571921239,0.7954549621698069,5.791824825265757,0.0,-0.06899628323802569,TR
A1YEN,2023,25868522.0,73066010.0,185485721.0,70366959.0,45402259.0,2167031548.0,0.0,-335852668.0,462821080.0,785462799.0,-451699975.0,4633837.0,-4560074.0,318074378.0,261478496.0,168055255.0,3137980068.0,970948520.0,630876335.0,466333918.0,2084501255.0,0.20104536081457353,0.30941831973420936,0.26638383099280466,0.6121938198840364,0.13518504786747743,0.014468625681531894,0.13946368410752222,0.3939171684272128,5.786120758796956,0.0,-0.1439460943701571,TR
A1YEN,2024,11332518.0,144907164.0,229321783.0,143575723.0,193805159.0,3323912540.0,0.0,-58246095.0,503305692.0,897351473.0,-427500907.0,309702410.0,308478721.0,422400298.0,507292062.0,210818882.0,4450585795.0,1126673256.0,714124574.0,630876335.0,3137980068.0,0.16045630999907506,0.2531516766322668,0.29521303379765784,0.08661123514526933,3.3273502541243323,0.04354598875899212,0.04941753832430302,0.6318944589751424,6.825319105931033,0.0,-0.09605497493841707,TR
A1YEN,2025,54611851.0,260954187.0,250621441.0,135301846.0,126015646.0,3583239418.0,0.0,-35451026.0,356334916.0,831120477.0,-358790483.0,84362830.0,130550781.0,613639644.0,525221546.0,224256181.0,4664981336.0,1081741918.0,580591097.0,714124574.0,4450585795.0,0.12445732473129878,0.23188558326099162,0.386254942865581,0.05476264294015794,3.5546403085766825,0.0270131082899578,0.21790574175176017,1.041228499679722,7.352979428789571,0.0,-0.07691145090574913,TR
AAGYO,2023,244498.0,1046210208.0,217082716.0,1440924.0,34096404.0,11338760225.0,0.0,-332967420.0,882452456.0,2392003602.0,-1051775306.0,-298094124.0,-298871016.0,10964905518.0,73179612.0,169492073.0,13947846543.0,2609086318.0,1051944529.0,,,0.07541985250245953,0.18706015369156906,0.1611226336821416,0.31652564448101234,0.1024016223569261,0.002444564033227907,0.0011262895752603354,4.819408137495387,10.782356893438564,0.0,-0.07540771994855751,TR
AAGYO,2024,19300124.0,1344529811.0,818555572.0,1733057.0,309613037.0,12177472993.0,0.0,654725545.0,0.0,2306642080.0,-745360721.0,465499486.0,1506365918.0,10731174471.0,686466938.0,745392923.0,15302670645.0,3125197652.0,745392923.0,1051944529.0,13947846543.0,0.048709989275208636,0.20422563645915806,1.0,0.7285504948127014,0.4728898075910571,0.020232614566605932,0.023578269649846082,1.6425638734763874,9.98892435583767,0.0,-0.04870788493664271,TR
AAGYO,2025,94235209.0,1716214385.0,555916281.0,2535394.0,808157246.0,14503842242.0,0.0,530705980.0,0.0,3308953598.0,-447561835.0,147929634.0,1443247116.0,13171489919.0,1532942051.0,447071399.0,18368712121.0,3864869879.0,447071399.0,745392923.0,15302670645.0,0.024338744929694137,0.2104050547224535,1.0,0.8900995530162286,1.5227965699576251,0.0439964021797737,0.16951331022449403,3.087181368231955,10.238025706988529,0.0,-0.024365444460764652,TR
ACSEL,2010,159210.0,1593687.0,1144216.0,0.0,-285873.0,566920.0,0.0,0.0,62774.0,1109762.0,-41464.0,-285873.0,-285873.0,-647372.0,5725257.0,737861.0,2820899.0,2253978.0,800635.0,,,0.28382263952023806,0.7990282530498256,0.9215947341797448,0.0,-inf,-0.10134109728848853,0.13914330860606738,1.3928200619463458,3.1301863888326293,0.0,-0.014698860186061253,TR
ACSEL,2011,76593.0,1272727.0,995610.0,62429.0,-187799.0,3350463.0,0.0,-186001.0,0.0,1255755.0,194972.0,-236992.0,-292337.0,-753379.0,4990779.0,668136.0,5601828.0,2251365.0,668136.0,800635.0,2820899.0,0.11927106651614437,0.4018982732065319,1.0,0.25327433616268297,-1.00966661469562,-0.03352459232950387,0.07693072588664236,1.2783389078052652,4.473401914071987,0.0,0.034805067203063,TR
ACSEL,2012,11749.0,2469857.0,3014690.0,29385.0,-184388.0,3079794.0,2232988.0,-76151.0,0.0,882902.0,61628.0,-172225.0,-259761.0,-990371.0,5212909.0,0.0,6977386.0,3897592.0,0.0,668136.0,5601828.0,0.0,0.5586034655385269,,0.22795059688446664,-2.4213470604456933,-0.026426515603407925,0.0038972498001452888,0.8192739551993737,2.92713542737356,0.4283573720546436,0.008832534132410046,TR
ACSEL,2013,242479.0,4664009.0,5367388.0,77861.0,785500.0,4293877.0,5536712.0,-261542.0,0.0,620644.0,703044.0,574069.0,524109.0,-1162596.0,9465677.0,4471857.0,10281909.0,5988032.0,4471857.0,0.0,6977386.0,0.4349247790463814,0.5823852360490644,1.0,0.11697243449421571,3.0033417194943834,0.07639631901040944,0.04517635020982273,0.8689532040538154,3.69893334824308,0.5849250930493403,0.06837679656569612,TR
ACSEL,2014,51396.0,6932454.0,7110709.0,287921.0,1033253.0,5435831.0,8102643.0,-974780.0,0.0,772124.0,1502605.0,45416.0,59218.0,-588527.0,11339466.0,6228151.0,13318664.0,7882833.0,6228151.0,4471857.0,10281909.0,0.46762580691276545,0.5918636433804472,1.0,0.1822017329332838,1.059985842959437,0.07757932777641961,0.007227971219185035,0.9749314730781418,4.2635389592878274,0.7145524313049663,0.11281949901281389,TR
ACSEL,2015,1765063.0,10192833.0,875141.0,281881.0,658083.0,15008806.0,9416956.0,-299978.0,42913.0,872566.0,2131241.0,355697.0,434840.0,0.0,12507462.0,41379.0,16756513.0,1747707.0,84292.0,6228151.0,13318664.0,0.005030402208383093,0.1043001607792743,0.4909006785934608,0.09504339286707222,2.193770876530946,0.03927326646062937,2.016889849749926,11.64707515703184,16.17879412212858,0.7529070246225813,0.12718881309016977,TR
ACSEL,2016,1025911.0,10953846.0,1011089.0,350850.0,776372.0,22026332.0,11402236.0,-30594.0,0.0,1095288.0,2612417.0,688231.0,853554.0,320704.0,14445519.0,42913.0,24132709.0,2106377.0,42913.0,84292.0,16756513.0,0.0017782089859866125,0.08728307294469095,1.0,0.4810188278762627,25.376609792769823,0.032170942764859094,1.0146594414537198,10.833710978954375,17.19207739736912,0.78932684938492,0.10825212370480247,TR
ACSEL,2017,2162429.0,13304099.0,2905410.0,287110.0,1295297.0,23186050.0,17511135.0,-182033.0,351947.0,2226282.0,5005315.0,1839175.0,2140932.0,431801.0,21164595.0,1097395.0,28317742.0,5131692.0,1449342.0,42913.0,24132709.0,0.051181411286252976,0.18121826238829353,0.757167735427525,0.2439703669949171,7.115726269412689,0.04574153546564553,0.7442767113763634,4.579077995876657,10.760138947571933,0.8273786954108973,0.17675544187103617,TR
ACSEL,2018,2444241.0,15418210.0,4142944.0,399444.0,5290290.0,31714259.0,25758469.0,-238325.0,0.0,2314475.0,3109116.0,8216511.0,9840012.0,1534767.0,31972324.0,701932.0,38171678.0,6457419.0,701932.0,1449342.0,28317742.0,0.01838881696529034,0.16916780551276786,1.0,0.2215663834546413,22.19779712577363,0.13859202102668894,0.5899768377269884,3.7215588721450255,11.406980518983927,0.8056489418786072,0.08145085998053321,TR
ACSEL,2019,2233195.0,18628141.0,4326296.0,510300.0,5217861.0,41881755.0,32527765.0,-148582.0,0.0,3240030.0,7723956.0,9305763.0,11067864.0,8800860.0,42939006.0,47788.0,49448081.0,7566326.0,47788.0,701932.0,38171678.0,0.0009664277972688161,0.15301556394069166,1.0,0.3963666435469242,35.11771950841959,0.10552201206756638,0.5161909864697192,4.305794379302757,12.248721432709527,0.7575341869814126,0.15620335195616591,TR
ACSEL,2020,5701063.0,26579131.0,5472428.0,563462.0,9409999.0,51976691.0,39845224.0,-71400.0,0.0,3910644.0,8906107.0,10451022.0,12918760.0,16994549.0,47660506.0,0.0,61359763.0,9383072.0,0.0,47788.0,49448081.0,0.0,0.15291897395366408,,2.9881978739432493,131.7927030812325,0.15335781202414359,1.0417794441516637,4.856917441398955,13.256381210086014,0.8360218416480932,0.14514572033141654,TR
ACSEL,2021,9478887.0,76378100.0,32815289.0,658231.0,30056135.0,89557432.0,92491698.0,-269011.0,0.0,6272798.0,21759705.0,35058646.0,43536010.0,26059510.0,111028520.0,0.0,128645519.0,39088087.0,0.0,0.0,61359763.0,0.0,0.30384336200625844,,inf,111.72827505194955,0.233635304467931,0.288855813520338,2.3275156894092874,10.107521335762076,0.8330445006382144,0.16914467887528986,TR
ACSEL,2022,4177820.0,193764640.0,80874767.0,3904332.0,74662942.0,327022704.0,531794775.0,-14299637.0,31636400.0,60866358.0,38201734.0,65050253.0,92772130.0,170922424.0,644000394.0,42181187.0,468763829.0,141741125.0,73817587.0,0.0,128645519.0,0.15747287318962488,0.302372146123928,0.5714246254080345,0.3874317105488696,5.2213172963761245,0.15927624398682005,0.05165789225704972,2.395860256388745,9.511361387547316,0.8257677789557377,0.08149462828967548,TR
ACSEL,2023,395909.0,277157268.0,257935294.0,6879316.0,67388916.0,519650232.0,510414039.0,-38437755.0,26090094.0,35081874.0,28486794.0,51666541.0,14213614.0,337895612.0,644837341.0,105043995.0,812667400.0,293017168.0,131134089.0,73817587.0,468763829.0,0.16136255619457604,0.3605622275484411,0.8010426259185741,0.3750909067950242,1.7531959397732777,0.08292311959357543,0.001534915962295567,1.0745224653125602,7.1799872376143465,0.7915392092654883,0.035053447449719284,TR
ACSEL,2024,7827537.0,386502230.0,263640271.0,25615342.0,13063637.0,631727641.0,784954521.0,-33972566.0,140190912.0,165461957.0,91622635.0,-47323751.0,-21421845.0,506994060.0,890026298.0,176356778.0,1060829870.0,429102228.0,316547690.0,131134089.0,812667400.0,0.2983962829025544,0.4044967436672951,0.5571254618853797,0.15177104628151505,0.3845348920655567,0.012314544838372622,0.02969021754646884,1.4660212134283537,7.196356470046727,0.88194531191257,0.08636883028189996,TR
ACSEL,2025,30315920.0,333487223.0,281080765.0,45138794.0,-17844755.0,677125437.0,646314177.0,-46458741.0,87080147.0,150260902.0,-11797914.0,-79102613.0,-48786163.0,541300726.0,807559101.0,141321793.0,1108467104.0,431341667.0,228401940.0,316547690.0,1060829870.0,0.20605206882170135,0.38913348483095805,0.6187416490420353,0.1705065512201559,-0.38409897935030135,-0.01609858780256595,0.10785483666945335,1.1864462621624072,6.692230694745712,0.8003304974207702,-0.010643449821312875,TR
ADEL,2010,32365348.0,75550839.0,12277661.0,1475577.0,28733473.0,75289087.0,6157158.0,-2482437.0,0.0,3465092.0,3124046.0,21735688.0,27219169.0,26853310.0,111384371.0,3763580.0,91031840.0,15742753.0,3763580.0,,,0.04134355627657312,0.17293677684643088,1.0,0.6595945881315131,11.574703809200395,0.31564201053169966,2.6361167652372877,6.153520528054977,15.913994488119162,0.05527847349427506,0.03431816823652032,TR
ADEL,2011,9840553.0,93484162.0,15735944.0,1708557.0,35366213.0,91515672.0,7611179.0,-4188750.0,0.0,4088511.0,2308966.0,25964758.0,32551379.0,37985711.0,136123044.0,4305365.0,111340127.0,19824455.0,4305365.0,3763580.0,91031840.0,0.03866858351975833,0.17805310209498862,1.0,1.0382398194559512,8.44314246493584,0.3176412130372368,0.6253551105672466,5.940804186898479,15.924687510728589,0.055913964133802355,0.0207379501192773,TR
ADEL,2012,1277594.0,108064260.0,21933376.0,2404650.0,38513023.0,104506566.0,8513454.0,-6596689.0,0.0,5324221.0,186696.0,24414458.0,30838488.0,52139450.0,159613655.0,7113553.0,131764163.0,27257597.0,7113553.0,4305365.0,111340127.0,0.05398700859200995,0.20686654382648795,1.0,1.1553965095467014,5.8382353632254,0.2922875395186171,0.05824885325451039,4.926932360982641,14.818004862013156,0.05333788014565546,0.001416895123448703,TR
ADEL,2013,38699751.0,162536159.0,40402979.0,3615455.0,40011410.0,142794802.0,10014415.0,-5540038.0,18815801.0,23872084.0,-6075832.0,49662101.0,55981052.0,63339658.0,186099908.0,25555716.0,207069865.0,64275063.0,44371517.0,7113553.0,131764163.0,0.21428283154576838,0.3104027860355248,0.5759486654468,0.21520949665602085,7.2222266345465505,0.19322661943107947,0.9578439995724077,4.022875615186692,11.747565910096638,0.053812036274622985,-0.02934194215078085,TR
ADEL,2014,15858762.0,192474779.0,108047468.0,5121662.0,48817723.0,148320294.0,13269057.0,-14393344.0,19970556.0,25693098.0,-28251307.0,28089319.0,36519575.0,63971524.0,221347791.0,79347560.0,282060860.0,133740566.0,99318116.0,44371517.0,207069865.0,0.35211590860213643,0.47415499619479284,0.7989233303620057,0.200339352248189,3.391687366049196,0.17307514059199847,0.14677587817236032,1.7813909253292266,8.280459165028866,0.05994664297327458,-0.10016032355570355,TR
ADEL,2015,63113002.0,263405572.0,168014498.0,7898581.0,43013678.0,205746617.0,13073993.0,-28096595.0,0.0,5994980.0,9260813.0,71501290.0,79114613.0,76680968.0,251614689.0,139647645.0,379756095.0,174009478.0,139647645.0,99318116.0,282060860.0,0.36772983195964243,0.4582137858774854,1.0,0.23515163747663415,1.5309213803309618,0.11326659023076377,0.3756402140962859,1.5677550159986788,7.558731598981105,0.051960372631504034,0.02438621294544331,TR
ADEL,2016,11046000.0,196786000.0,85549000.0,11383000.0,52473000.0,195491000.0,14049993.0,-25598000.0,23787000.0,30391000.0,4304000.0,18857000.0,28567000.0,68886000.0,272288000.0,62401000.0,311431000.0,115940000.0,86188000.0,139647645.0,379756095.0,0.2767483005866468,0.37228150055710574,0.7240103030584304,0.2266958344861813,2.049886709899211,0.1684899704910558,0.129118984441665,2.300272358531368,9.21688678298898,0.0515997509989423,0.013820075715005892,TR
ADEL,2017,20327000.0,241316000.0,129331000.0,12001000.0,57036000.0,205399000.0,19159000.0,-24571000.0,14809000.0,21514000.0,18759000.0,26870000.0,33742000.0,69150000.0,322397000.0,86917000.0,356244000.0,150845000.0,101726000.0,86188000.0,311431000.0,0.2855514759546827,0.4234316928846521,0.8544226648054578,0.2615132454207776,2.3212730454600954,0.16010374911577457,0.15717036132095166,1.8658790235906317,8.450560264182478,0.0594267316383217,0.052657728972277426,TR
ADESE,2010,23262677.0,127737896.0,201345782.0,10489166.0,23822353.0,298392683.0,0.0,-12097631.0,17142193.0,33175561.0,-19601810.0,16375868.0,15922249.0,21769724.0,540801028.0,49955626.0,532914026.0,234521343.0,67097819.0,,,0.12590739917961927,0.4400735044643017,0.744519371039467,0.1802984237088243,1.9691750393114156,0.044702056687845555,0.11553595396401202,0.6344205214092838,4.113445640140659,0.0,-0.03678231204971137,TR
ADESE,2011,35240668.0,204157602.0,196528089.0,10104772.0,26923243.0,373583731.0,0.0,-22325339.0,17445604.0,33743390.0,-12262261.0,7224377.0,7935800.0,38184543.0,610574226.0,68010535.0,603855210.0,230271479.0,85456139.0,67097819.0,532914026.0,0.14151759823352356,0.3813355837403473,0.7958531217985404,0.2926877714965612,1.2059500193927626,0.04458559362268316,0.17931618924967005,1.0388214887694756,5.542123694630477,0.0,-0.020306624496955156,TR
ADESE,2012,25545102.0,204833766.0,192276174.0,11684532.0,4412289.0,345377441.0,0.0,-11743238.0,22979234.0,81410893.0,-1611199.0,9773141.0,15640240.0,43018942.0,618071496.0,53331917.0,619064508.0,273687067.0,76311151.0,85456139.0,603855210.0,0.12326849627761248,0.4420978160809051,0.698874493453781,0.14518680507041937,0.37573018617182075,0.007127349319790112,0.1328563049106646,1.0653101824254108,4.982542186467013,0.0,-0.0026026350714326526,TR
ADESE,2013,15780050.0,226317354.0,204313566.0,9091290.0,4067314.0,369692971.0,0.0,-8613300.0,21885234.0,87399976.0,-4041973.0,17357799.0,20811153.0,52823095.0,588506134.0,70443648.0,661406513.0,291713542.0,92328882.0,76311151.0,619064508.0,0.139594757815758,0.441050301541255,0.7629643777122742,0.10215012232593669,0.4722132051594627,0.006149491908616872,0.0772344700791919,1.1076961673705015,5.100603880926677,0.0,-0.0061111781038660565,TR
ADESE,2014,15327997.0,286090897.0,278268194.0,8103632.0,6869836.0,399737799.0,0.0,-17385793.0,22629062.0,96068757.0,-7586164.0,18476378.0,25636293.0,70225548.0,609265238.0,121281526.0,774074750.0,374336951.0,143910588.0,92328882.0,661406513.0,0.18591303746828067,0.4835927680110997,0.8427561007533372,0.14718787677605272,0.395140791104553,0.008874900001582534,0.0550835392995004,1.0281120989343109,4.792935682773232,0.0,-0.009800299002131254,TR
ADESE,2015,13558230.0,309756162.0,262060044.0,8457563.0,10652115.0,443900688.0,0.0,-20467422.0,69506864.0,156853562.0,-23148424.0,51208342.0,62393821.0,88907108.0,642891227.0,85296835.0,862814294.0,418913606.0,154803699.0,143910588.0,774074750.0,0.1794171701564323,0.48552001156346164,0.5509999796581088,0.13703677989797655,0.5204424377432585,0.0123457794731435,0.0517371125832521,1.182004540913532,5.1441488856076205,0.0,-0.02682897601601394,TR
ADESE,2016,16415860.0,317549733.0,336117745.0,12612128.0,19764924.0,475323253.0,0.0,-34318313.0,63011346.0,160726880.0,-136995509.0,31656821.0,42916435.0,119427849.0,649314128.0,132408007.0,972167878.0,496844625.0,195419353.0,154803699.0,862814294.0,0.2010139991479949,0.5110687528805596,0.6775583122517042,0.19597974949975594,0.5759293587653915,0.02033077254173584,0.04883961124992077,0.9447574182672206,4.666328571618666,0.0,-0.14091754325583672,TR
